time,s1,s2,s6,s7,s11,s12
0.0,0.5,0.2,0.0,0.0,0.01,0.02
2.5,0.40271227525921405,0.10271227525921392,0.02090222947634894,0.02090222947634894,0.10406200107612458,0.00232349418831253
5.0,0.35826366302107654,0.058263663021076544,0.0272826963341321,0.0272826963341321,0.14221975765611716,0.002233882988674184
7.5,0.3347079220355473,0.034707922035547276,0.034525917931958944,0.034525917931958944,0.15820434421678323,0.0025618158157105675
10.0,0.3212402942441793,0.02124029424417932,0.04246087483240773,0.04246087483240773,0.16359611125874962,0.0027027196646633588
12.5,0.31320464577337587,0.013204645773375795,0.05062801717651133,0.05062801717651133,0.16343921572333542,0.0027281213267775
15.0,0.3082874906500613,0.008287490650061194,0.05876725489992541,0.05876725489992541,0.1602548518522016,0.002690402597811852
17.5,0.30523196964747307,0.005231969647473009,0.06673623520747515,0.06673623520747515,0.15541370718982864,0.002618087955223225
20.0,0.30331510350814106,0.003315103508141003,0.07445744337939891,0.07445744337939891,0.1497002340842507,0.0025272190282094446
22.5,0.3021053740505444,0.002105374050544353,0.08189046981610149,0.08189046981610149,0.14357700814058316,0.002427147992771094
25.0,0.3013390418482145,0.001339041848214422,0.08901676654104727,0.08901676654104727,0.13732075195116025,0.002323439659578137
27.5,0.3008524328455534,8.524328455533765E-4,0.09583084836690071,0.09583084836690071,0.13109729082311056,0.002219427964435447
30.0,0.3005429765597554,5.429765597554843E-4,0.10233504363388474,0.10233504363388474,0.12500488126621442,0.0021170985401454748
32.5,0.3003459904911582,3.459904911581154E-4,0.10853629649869678,0.10853629649869678,0.11910010375678841,0.0020176092533568
35.0,0.3002205212887022,2.2052128870208077E-4,0.11444419505053416,0.11444419505053416,0.11341367820649892,0.0019216054542649807
37.5,0.30014057324408777,1.405732440877325E-4,0.1200697482673181,0.1200697482673181,0.10796026424134925,0.0018294142472450954
40.0,0.30008961830620395,8.961830620387166E-5,0.12542462700780554,0.12542462700780554,0.10274458913698833,0.0017411655490024813
42.5,0.3000571370110923,5.713701109219855E-5,0.13052069514473305,0.13052069514473305,0.09776529980920307,0.001656868034971903
45.0,0.3000364296797375,3.64296797373874E-5,0.1353697230652627,0.1353697230652627,0.09301739029879078,0.0015764569562092812
47.5,0.30002322758403216,2.322758403208002E-5,0.13998321607700798,0.13998321607700798,0.08849373205729232,0.001499824281667829
50.0,0.3000148101564912,1.48101564909991E-5,0.14437231522974592,0.14437231522974592,0.08418603693255723,0.0014268376812060933
